"animal","dam","sire","dist","beans","f"
1108,166,39,NA,3,10
1109,166,39,NA,5,1
1110,166,39,NA,10,15
1111,166,39,NA,10,6
1112,167,39,NA,5,4
1113,167,39,NA,3,11
1114,167,39,NA,1,5
1115,169,40,NA,3,12
1116,169,40,NA,3,12
1117,169,40,NA,10,12
1118,170,40,NA,10,14
1119,170,40,NA,1,6
1120,172,41,NA,5,11
1121,172,41,NA,10,30
1122,172,41,NA,3,7
1123,172,41,NA,1,4
1124,174,42,NA,10,17
1125,174,42,NA,1,6
1126,174,42,NA,5,7
1127,174,42,NA,3,12
1128,176,42,NA,1,2
1129,176,42,NA,3,10
1130,176,42,NA,10,25
1131,176,42,NA,5,19
1132,177,43,NA,1,3
1133,177,43,NA,5,17
1134,177,43,NA,10,4
1135,177,43,NA,3,9
1136,177,43,NA,3,2
