"animal","dam","sire","dist","beans","f"
274,78,10,1,3,17
275,78,10,-2,10,5
276,78,10,-8,1,4
277,79,10,-12,10,16
278,79,10,7,1,1
279,79,10,4,5,8
280,79,10,-3,1,2
281,79,10,-11,3,6
282,79,10,-3,5,5
283,79,10,-4,10,25
284,80,10,-10,1,3
285,80,10,-8,3,2
286,80,10,-8,3,4
287,80,10,-6,10,6
288,80,10,-11,1,1
289,80,10,-6,10,2
290,81,11,-18,10,5
291,81,11,-9,10,4
292,81,11,-7,3,10
293,81,11,-3,3,6
294,81,11,0,1,2
295,81,11,1,5,4
296,81,11,4,1,4
297,81,11,3,5,13
298,82,11,-19,1,4
299,82,11,-21,5,9
300,82,11,-7,10,8
301,82,11,0,5,21
302,82,11,1,10,7
303,83,11,-2,5,10
304,83,11,-7,5,17
305,83,11,-8,1,2
306,83,11,-7,10,4
307,83,11,-1,3,16
308,83,11,3,10,22
309,83,11,-5,3,7
310,84,12,16,3,14
311,84,12,15,5,5
312,84,12,-5,5,9
313,84,12,-4,10,15
314,84,12,-2,1,5
315,84,12,7,10,1
316,85,12,20,1,2
317,85,12,-19,3,10
318,85,12,-5,5,1
319,85,12,-1,5,11
320,85,12,18,10,0
321,85,12,6,10,11
322,85,12,12,1,5
323,86,12,0,3,9
324,86,12,-11,5,8
325,86,12,-10,5,0
326,86,12,-9,10,27
327,86,12,8,1,2
328,86,12,7,1,1
329,86,12,5,3,5
330,91,14,12,3,11
331,91,14,10,1,4
332,91,14,-7,5,3
333,91,14,-7,10,11
334,91,14,-7,5,12
335,91,14,-7,3,7
336,92,14,-13,10,6
337,92,14,-6,3,8
338,92,14,0,10,5
339,92,14,3,1,3
340,92,14,17,3,15
341,92,14,6,5,14
342,92,14,-2,1,4
343,99,17,-9,1,6
344,99,17,-8,3,11
345,99,17,-5,10,17
346,99,17,-4,5,8
347,99,17,-1,10,26
348,99,17,2,3,8
349,99,17,5,1,4
350,100,17,-3,3,11
351,100,17,-4,1,2
352,100,17,-2,3,11
353,100,17,-1,10,15
354,100,17,0,1,2
355,100,17,3,10,23
356,100,17,7,5,7
357,100,17,-2,5,16
358,105,19,-5,5,1
359,105,19,-9,3,7
360,105,19,2,3,0
361,105,19,6,10,11
362,105,19,5,1,2
363,105,19,5,10,1
364,105,19,-3,1,0
365,105,19,-4,5,7
366,106,19,-4,1,3
367,106,19,0,5,1
368,106,19,3,10,1
369,106,19,3,3,9
370,106,19,4,1,2
371,106,19,-4,10,2
372,106,19,8,5,9
373,106,19,3,3,1
374,107,19,6,5,0
375,107,19,-1,3,2
376,107,19,-10,1,4
377,107,19,6,10,16
378,107,19,-7,5,16
379,107,19,-9,1,1
380,107,19,-2,10,17
381,107,19,-10,3,3
382,111,21,7,1,1
383,111,21,8,3,8
384,111,21,5,3,7
385,111,21,2,10,21
386,111,21,0,1,2
387,111,21,-7,10,12
388,111,21,-8,5,10
389,112,21,0,10,18
390,112,21,1,5,2
391,112,21,0,1,3
392,112,21,1,3,10
393,112,21,1,10,32
394,112,21,1,1,6
395,112,21,3,5,12
396,112,21,0,3,8
397,115,22,8,1,2
398,115,22,4,3,7
399,115,22,-5,5,14
400,115,22,0,10,21
401,115,22,0,5,7
402,115,22,7,3,1
403,117,23,-12,5,5
404,117,23,-10,10,11
405,117,23,-5,10,9
406,117,23,-4,1,1
407,117,23,1,5,13
408,117,23,8,1,0
409,117,23,13,3,1
410,117,23,-14,3,8
411,118,23,4,10,4
412,118,23,-2,10,8
413,118,23,-7,1,4
414,118,23,8,5,3
415,118,23,7,5,8
416,118,23,6,3,5
417,121,24,4,5,5
418,121,24,5,5,13
419,121,24,9,3,6
420,121,24,7,10,5
421,121,24,8,3,5
422,121,24,8,1,3
423,121,24,8,10,12
424,122,24,4,3,10
425,122,24,3,10,1
426,122,24,1,1,3
427,122,24,-1,5,15
428,122,24,-3,3,5
429,122,24,-3,1,2
430,122,24,-4,10,3
431,122,24,-5,5,17
432,123,25,-5,5,8
433,123,25,-6,5,2
434,123,25,-9,1,2
435,123,25,-16,10,12
436,124,25,5,5,20
437,124,25,-5,5,11
438,124,25,-9,3,8
439,124,25,-16,10,12
440,124,25,5,10,4
441,124,25,6,3,5
442,125,25,-7,10,10
443,125,25,-4,3,9
444,125,25,-13,1,2
445,125,25,-11,1,5
446,125,25,-10,5,10
447,125,25,-9,5,6
448,125,25,1,3,10
449,125,25,11,10,15
450,126,26,-6,1,7
451,126,26,-5,3,8
452,126,26,-4,3,5
453,126,26,1,5,16
454,126,26,4,10,24
455,126,26,12,5,19
456,126,26,-14,10,9
457,129,27,-9,1,4
458,129,27,4,5,15
459,129,27,5,3,5
460,129,27,6,10,18
461,129,27,9,1,1
462,129,27,4,10,14
463,129,27,-10,5,9
464,129,27,-14,3,1
465,135,29,-14,3,10
466,135,29,10,10,3
467,135,29,-9,5,7
468,135,29,6,10,26
469,135,29,4,1,1
470,135,29,3,5,15
471,136,29,-8,10,4
472,136,29,-10,1,1
473,136,29,4,3,14
474,136,29,3,5,9
475,137,29,2,3,1
476,137,29,2,10,2
477,137,29,7,10,6
478,137,29,11,3,5
479,137,29,11,5,9
480,137,29,22,1,0
481,137,29,11,1,6
482,141,31,1,10,2
483,141,31,-5,5,15
484,141,31,-9,3,1
485,141,31,1,1,4
486,141,31,7,10,3
487,141,31,7,5,14
488,141,31,2,3,3
489,142,31,-6,10,1
490,142,31,10,5,11
491,142,31,9,5,4
492,142,31,4,1,5
493,142,31,-3,3,6
494,142,31,-6,3,19
495,144,32,12,5,1
496,144,32,-6,3,11
497,144,32,0,5,14
498,144,32,3,10,9
499,144,32,16,1,0
500,144,32,18,1,0
501,144,32,19,3,1
502,145,32,0,5,0
503,145,32,-8,1,4
504,145,32,-5,5,14
505,145,32,-7,10,3
506,145,32,8,10,9
507,145,32,6,3,3
508,145,32,5,1,2
509,149,33,2,3,5
510,149,33,17,5,1
511,149,33,11,10,14
512,149,33,8,10,19
513,149,33,-4,1,4
514,149,33,-6,1,6
515,150,34,-10,10,15
516,150,34,-19,3,1
517,150,34,-4,3,6
518,150,34,-6,1,4
519,150,34,-7,10,13
520,150,34,-9,5,8
521,150,34,-2,5,8
522,154,35,-4,10,10
523,154,35,2,1,5
524,154,35,-2,5,20
525,154,35,-2,1,2
526,154,35,-8,3,1
527,154,35,2,10,13
528,154,35,2,3,18
529,154,35,1,5,5
530,158,36,0,10,28
531,158,36,-5,1,2
532,158,36,6,10,18
533,158,36,6,5,9
534,158,36,8,1,2
535,158,36,10,3,11
536,158,36,-5,3,6
537,159,37,-3,1,3
538,159,37,6,3,5
539,159,37,-5,5,15
540,159,37,4,10,25
541,159,37,-1,10,13
542,159,37,-1,1,3
543,159,37,-5,5,0
544,159,37,-6,3,7
545,161,37,14,1,0
546,161,37,-7,10,5
547,161,37,-1,3,1
548,161,37,3,10,23
549,161,37,10,5,2
550,161,37,11,5,8
551,161,37,5,3,2
552,162,38,8,1,2
553,162,38,2,3,4
554,162,38,2,10,18
555,162,38,-1,1,3
556,162,38,-7,3,1
557,162,38,-8,5,6
558,162,38,-13,5,1
559,162,38,-5,10,1
560,163,38,-12,1,6
561,163,38,-13,3,3
562,163,38,-13,10,2
563,163,38,-17,10,16
564,163,38,13,5,3
565,163,38,4,5,1
566,163,38,-1,1,3
567,164,38,-4,1,7
568,164,38,-4,1,4
569,164,38,-7,3,3
570,164,38,-18,5,15
571,164,38,23,5,6
572,164,38,-3,10,23
573,165,39,1,1,3
574,165,39,4,1,0
575,165,39,7,10,3
576,165,39,7,3,16
577,165,39,7,5,3
578,165,39,1,3,15
579,165,39,7,10,6
580,165,39,8,5,3
581,167,39,4,3,8
582,167,39,-2,1,0
583,167,39,5,3,12
584,167,39,-2,10,8
585,167,39,-6,5,17
586,167,39,-10,5,8
587,167,39,-6,1,3
588,169,40,-4,3,3
589,169,40,3,10,5
590,169,40,5,10,28
591,169,40,6,5,10
